N,P,K,temperature,humidity,ph,rainfall,label
90.6,55.7,49.1,26.23,89.15,6.99,233.37,rice
27.3,62.3,23.2,15.46,67.19,6.55,59.8,lentil
95.5,54.1,30.4,23.64,55.49,5.65,74.29,maize
30.7,67.0,22.0,24.39,71.11,6.6,64.69,blackgram
23.8,67.8,19.2,17.5,23.92,5.7,79.23,kidneybeans
22.2,12.3,40.1,18.35,93.63,6.24,99.44,pomegranate
24.4,63.8,76.1,20.82,19.73,6.8,72.77,chickpea
40.8,67.8,15.6,24.27,72.7,7.42,73.36,blackgram
39.2,62.7,86.6,22.07,19.35,7.1,88.96,chickpea
23.9,44.0,48.2,27.85,66.83,6.67,94.74,soybean
26.0,52.5,31.3,26.78,71.19,6.29,79.07,soybean
136.8,54.1,58.5,24.95,79.27,6.29,236.19,sugarcane
23.1,128.8,196.9,23.45,91.79,5.63,117.97,apple
22.3,12.8,11.3,24.14,92.77,6.1,103.1,orange
17.1,23.2,32.4,33.08,53.67,6.73,95.31,mango
86.3,42.2,30.7,18.22,41.38,7.43,55.97,wheat
23.5,48.9,16.8,30.85,88.97,7.24,52.88,mungbean
20.2,50.5,15.5,25.03,38.25,6.99,131.24,pigeonpeas
102.4,52.1,16.3,27.25,83.5,6.63,98.69,cotton
74.1,51.3,51.5,23.58,58.54,7.15,101.82,chilli
103.5,50.0,33.7,15.58,40.15,6.21,31.92,wheat
102.9,53.7,16.5,25.97,84.9,7.04,69.52,cotton
86.6,50.7,23.9,24.27,59.89,5.99,92.8,maize
21.0,41.7,15.4,28.37,54.41,4.64,59.48,mothbeans
25.1,30.0,27.5,28.12,56.79,6.61,64.53,groundnut
19.7,40.0,16.1,29.89,44.97,6.02,54.04,mothbeans
112.5,46.6,48.2,28.13,84.39,7.25,226.32,sugarcane
20.7,46.3,47.0,20.65,62.55,6.92,82.1,soybean
21.6,23.4,28.7,32.18,51.09,5.95,87.16,mango
25.5,66.7,89.6,17.44,20.51,6.58,87.66,chickpea
22.1,138.7,202.7,17.01,83.12,6.2,68.45,grapes
27.4,64.8,21.9,25.37,52.61,5.56,129.8,pigeonpeas
21.8,127.7,206.8,20.58,84.94,6.04,71.43,grapes
13.6,43.3,21.6,24.68,59.24,3.94,53.15,mothbeans
25.1,68.4,20.8,23.22,24.58,5.61,71.69,kidneybeans
19.8,16.3,33.9,28.76,93.35,6.68,167.26,coconut
27.1,53.3,19.4,23.75,53.67,5.09,138.86,pigeonpeas
16.7,11.3,42.8,20.15,93.86,6.77,90.59,pomegranate
17.3,51.2,16.0,30.59,42.02,6.29,145.5,pigeonpeas
17.2,53.9,21.0,28.64,52.94,4.94,175.01,pigeonpeas
16.2,22.6,26.7,34.87,54.72,6.71,87.52,mango
18.7,15.5,25.5,29.92,98.21,6.04,207.51,coconut
35.2,65.3,20.0,24.79,74.72,6.7,76.79,blackgram
21.2,19.9,9.8,16.46,90.22,7.23,103.99,orange
102.8,87.7,49.5,26.86,77.5,5.57,97.7,banana
101.2,15.7,47.3,26.07,83.88,6.63,46.5,watermelon
92.2,70.0,48.9,30.13,84.69,6.38,104.79,banana
82.3,40.6,43.6,26.1,74.15,6.48,100.93,chilli
100.9,37.4,23.1,27.34,76.88,6.86,94.97,cotton
76.6,46.7,22.6,23.6,50.54,6.29,88.22,maize
38.5,65.8,82.5,21.61,24.34,6.64,76.34,chickpea
83.5,48.4,40.6,24.19,80.11,5.54,179.83,rice
18.0,130.2,194.1,21.71,84.75,6.25,65.54,grapes
89.4,50.4,35.5,25.47,79.12,6.17,196.21,jute
20.9,56.2,18.4,22.66,35.88,5.78,102.54,pigeonpeas
89.1,45.8,41.6,24.33,72.02,5.92,245.35,rice
137.2,62.6,47.6,26.54,75.61,6.21,161.68,sugarcane
46.8,61.1,52.1,35.83,85.02,6.02,108.8,papaya
104.6,58.2,48.6,25.46,72.86,6.12,237.68,sugarcane
116.5,61.8,59.3,31.01,81.4,7.24,219.85,sugarcane
15.4,51.0,21.8,31.62,34.28,7.45,59.53,mothbeans
96.9,42.2,36.8,26.13,61.06,7.08,74.06,chilli
21.9,50.2,22.2,27.17,88.16,7.12,54.46,mungbean
28.0,61.6,16.5,24.01,18.02,6.36,67.23,kidneybeans
78.2,41.9,41.5,25.28,81.87,6.7,192.1,jute
27.3,63.8,24.9,23.53,62.37,6.81,51.76,lentil
81.8,38.0,40.7,23.04,89.6,6.04,173.53,jute
115.9,44.1,16.7,26.73,82.27,5.71,79.89,cotton
93.1,20.0,52.8,28.77,91.98,6.47,25.18,muskmelon
17.5,16.3,8.7,22.49,92.08,6.16,112.77,orange
38.3,59.2,72.3,23.32,19.98,7.07,75.27,chickpea
20.3,60.7,75.5,24.74,20.53,7.05,63.79,chickpea
15.4,25.7,32.6,24.79,64.84,6.03,85.65,groundnut
24.6,10.7,26.1,30.7,97.71,6.07,174.49,coconut
106.5,60.6,50.7,30.02,78.08,6.18,199.08,sugarcane
107.6,49.1,19.7,23.16,83.05,5.52,97.09,cotton
112.6,53.0,27.4,12.88,44.37,6.45,47.97,wheat
23.7,12.4,32.0,27.76,93.18,6.07,164.34,coconut
37.1,73.8,19.3,29.44,69.91,6.13,72.37,blackgram
120.9,50.9,46.0,24.61,65.9,6.16,192.49,sugarcane
20.6,13.0,41.2,21.71,90.92,6.49,105.45,pomegranate
24.9,27.6,32.8,29.71,59.72,6.02,84.38,groundnut
16.4,17.0,8.1,20.83,93.32,6.07,103.41,orange
93.9,11.8,53.0,30.82,88.51,6.93,54.91,watermelon
24.8,138.3,205.2,17.74,84.82,6.68,69.53,grapes
34.2,72.4,23.9,27.8,60.7,6.11,78.51,blackgram
53.4,58.0,54.2,28.39,89.17,6.14,113.93,papaya
26.6,30.1,20.5,31.43,84.07,7.4,61.96,mungbean
99.3,74.5,47.7,25.43,82.52,6.17,92.57,banana
117.8,54.8,26.6,15.62,52.87,7.14,45.63,wheat
27.9,50.8,15.2,30.9,60.17,5.94,153.07,pigeonpeas
95.6,74.8,45.5,29.0,83.4,5.65,100.82,banana
15.7,39.9,26.0,23.81,64.86,6.09,83.77,groundnut
22.9,69.3,23.2,29.22,34.84,5.13,160.53,pigeonpeas
111.3,58.5,53.4,27.27,67.92,6.44,176.18,sugarcane
106.5,19.8,45.1,29.35,84.46,6.9,49.21,watermelon
25.4,66.2,80.8,19.83,19.36,7.1,68.05,chickpea
102.1,57.8,57.6,30.33,67.72,6.6,212.83,sugarcane
20.0,127.9,201.9,20.87,94.88,6.2,109.2,apple
24.1,43.7,49.8,23.63,61.47,6.03,65.76,soybean
97.9,70.6,51.8,26.21,77.15,5.69,98.4,banana
18.5,18.4,43.8,25.61,85.01,6.66,106.98,pomegranate
101.8,47.6,62.4,30.68,79.96,7.39,178.29,sugarcane
21.8,11.3,32.2,28.22,97.14,6.28,130.37,coconut
20.8,12.3,11.2,15.92,92.0,7.38,114.69,orange
21.1,53.0,81.3,18.04,24.94,6.18,82.93,chickpea
65.0,46.2,38.8,26.19,66.54,6.08,94.21,chilli
29.1,64.4,78.2,21.55,16.54,6.7,89.08,chickpea
116.7,46.5,35.0,18.3,41.36,6.82,37.27,wheat
22.3,58.8,17.7,28.57,33.98,5.57,121.16,pigeonpeas
92.0,16.5,27.2,23.13,67.94,6.61,206.51,coffee
105.4,57.7,26.4,23.07,49.64,6.5,48.26,wheat
91.4,16.3,54.9,30.38,91.15,6.25,29.55,muskmelon
22.6,121.7,197.6,20.78,93.27,6.39,106.19,apple
25.6,37.9,18.5,31.47,87.95,6.41,43.05,mungbean
23.6,43.4,22.2,31.49,89.13,6.26,62.06,mungbean
26.7,72.3,20.2,19.58,24.75,5.56,83.95,kidneybeans
49.6,59.2,51.1,28.44,90.17,6.11,131.29,papaya
83.7,48.8,51.0,24.63,71.85,5.54,116.61,turmeric
20.3,22.8,34.1,32.37,50.07,6.77,101.81,mango
24.7,134.0,196.8,22.99,93.16,6.14,111.28,apple
18.5,48.8,24.5,26.42,87.23,6.02,56.34,mungbean
21.0,68.7,19.9,24.1,18.51,5.58,90.41,kidneybeans
22.2,17.9,8.7,23.26,93.45,6.86,118.15,orange
45.3,60.5,47.8,29.21,93.97,6.53,49.66,papaya
55.0,58.5,46.3,32.5,90.2,6.51,94.18,papaya
102.0,41.0,60.0,30.36,89.38,6.89,277.3,rice
45.7,64.3,54.9,34.94,89.9,6.26,90.33,papaya
24.8,16.3,33.4,29.0,93.9,6.39,207.81,coconut
19.9,11.0,10.3,23.36,93.29,6.79,114.03,orange
22.2,16.3,36.5,21.29,91.87,6.86,91.73,pomegranate
82.9,40.8,35.6,29.1,74.65,6.95,182.23,jute
134.7,47.5,46.9,30.95,68.61,6.25,200.87,sugarcane
108.6,44.8,47.9,28.72,76.0,5.97,262.78,rice
15.4,125.8,206.0,18.13,83.69,6.07,72.58,grapes
29.2,32.7,15.2,26.51,81.51,7.04,50.26,mungbean
18.7,44.0,17.2,31.78,82.98,6.43,45.18,mungbean
16.5,20.0,31.7,25.94,90.72,5.52,194.92,coconut
98.6,75.9,51.6,29.2,77.0,5.53,95.12,banana
126.2,64.0,51.5,29.85,79.69,7.44,206.92,sugarcane
95.4,40.4,54.3,26.75,59.93,6.83,107.11,chilli
20.7,10.5,9.6,15.85,92.51,7.16,102.61,orange
79.0,40.0,20.5,20.2,59.5,7.2,63.64,maize
51.9,64.3,54.9,30.3,91.09,6.25,97.79,papaya
17.6,10.4,35.6,24.31,90.07,6.63,100.02,pomegranate
53.6,60.4,45.1,35.06,87.38,6.47,92.33,papaya
24.4,19.6,8.4,22.25,92.66,6.28,110.52,orange
24.7,121.0,194.5,21.43,82.02,6.16,69.59,grapes
24.1,14.4,25.2,28.38,95.0,5.79,213.13,coconut
95.8,16.6,54.3,27.1,89.57,6.98,44.69,watermelon
28.8,74.8,23.7,16.4,68.66,6.25,54.23,lentil
22.9,18.8,29.5,25.21,94.75,6.03,171.51,coconut
102.3,38.4,19.0,24.41,81.19,7.0,81.3,cotton
138.7,57.0,60.0,24.36,70.07,6.93,180.25,sugarcane
117.9,47.6,18.6,22.68,79.49,6.97,65.6,cotton
17.6,53.0,25.0,27.18,84.95,7.4,64.05,mungbean
80.7,55.3,58.4,27.06,83.17,6.38,145.71,turmeric
17.9,20.4,28.4,30.29,48.83,6.23,97.18,mango
23.2,49.1,45.8,20.42,64.39,6.0,71.15,soybean
27.4,63.9,16.4,27.88,45.7,4.51,98.71,pigeonpeas
25.2,59.7,21.7,18.64,43.83,6.0,90.85,pigeonpeas
96.1,13.4,52.1,30.68,94.27,6.53,27.48,muskmelon
132.4,57.3,53.7,27.41,65.81,6.51,196.35,sugarcane
91.0,52.6,25.8,23.91,53.96,7.08,36.52,wheat
25.1,39.5,24.8,30.55,89.55,7.21,47.26,mungbean
100.9,56.3,32.0,19.09,69.68,7.07,77.36,maize
74.8,35.8,38.2,23.89,75.21,6.18,178.12,jute
18.7,57.5,20.6,15.69,23.36,5.71,70.8,kidneybeans
24.5,121.1,202.8,20.36,92.35,5.69,116.83,apple
83.5,45.4,42.9,22.64,64.98,6.64,86.4,chilli
116.4,44.6,20.7,29.48,75.38,6.86,76.02,cotton
101.7,45.1,23.5,24.22,71.99,6.06,94.31,cotton
72.3,52.9,42.2,27.15,76.52,6.2,183.84,jute
93.7,18.8,30.5,22.25,66.52,6.83,164.31,coffee
83.6,45.7,37.9,27.35,86.0,6.95,190.44,jute
93.0,49.0,25.1,18.58,49.24,6.11,50.83,wheat
105.2,49.0,19.8,28.39,82.93,6.19,63.38,cotton
78.6,51.6,40.8,29.72,55.01,7.4,88.93,chilli
119.4,42.0,48.1,25.39,87.23,5.87,178.53,rice
86.8,54.6,43.3,25.79,89.79,6.46,233.54,rice
19.2,13.2,39.2,23.76,87.71,6.08,97.46,pomegranate
46.0,69.3,15.8,25.23,70.68,6.95,74.79,blackgram
96.2,75.3,46.2,26.1,81.86,6.33,110.91,banana
86.1,48.7,48.7,27.47,75.1,7.24,110.63,turmeric
23.1,46.3,18.5,25.43,85.37,6.79,58.2,mungbean
48.8,64.6,51.1,33.0,87.27,6.19,56.8,papaya
16.9,60.0,16.7,21.61,18.18,5.51,99.5,kidneybeans
85.5,53.8,53.3,27.69,66.13,7.12,134.13,turmeric
108.8,47.8,17.1,27.87,75.18,6.78,90.22,cotton
98.9,17.0,46.6,28.07,92.0,6.27,25.51,muskmelon
110.4,46.8,52.4,31.58,67.35,7.08,193.52,sugarcane
19.1,137.1,196.8,21.45,93.18,6.12,105.44,apple
108.5,46.0,57.9,26.59,66.11,6.11,245.19,sugarcane
105.5,43.5,24.0,28.16,74.85,5.82,62.96,cotton
104.2,11.5,46.5,26.58,80.51,6.93,49.23,watermelon
20.5,74.0,18.3,15.03,67.74,6.73,54.62,lentil
37.8,72.9,18.3,30.04,62.1,7.48,74.48,blackgram
16.8,120.5,202.3,23.31,94.7,6.2,101.6,apple
25.6,58.4,16.2,18.29,41.37,6.5,157.99,pigeonpeas
95.7,21.0,28.1,27.86,58.88,6.55,163.25,coffee
80.2,55.4,35.3,24.07,47.49,6.36,32.74,wheat
98.7,40.1,32.7,20.38,59.77,7.31,102.31,maize
85.6,60.9,52.2,20.3,63.64,5.52,180.62,turmeric
42.0,61.5,18.9,26.33,65.82,6.13,78.02,blackgram
19.5,35.6,27.4,23.08,64.31,6.49,54.38,groundnut
60.3,44.3,53.7,24.45,59.43,6.03,76.87,chilli
107.1,16.4,27.3,22.75,52.6,6.08,195.27,coffee
17.2,27.3,30.3,24.4,58.71,6.32,83.21,groundnut
80.7,52.9,51.1,21.25,60.35,5.72,101.59,turmeric
25.6,60.9,21.1,15.93,61.34,6.12,46.11,lentil
113.1,42.8,22.7,27.99,81.01,6.68,67.8,cotton
75.6,49.6,42.4,24.73,76.55,6.58,194.59,jute
21.7,15.3,34.7,30.29,94.66,5.7,203.16,coconut
18.2,58.4,18.4,23.18,55.26,6.44,152.44,pigeonpeas
75.2,46.7,52.4,27.55,69.02,6.83,115.16,turmeric
93.3,15.1,49.5,25.43,89.49,6.66,54.52,watermelon
105.6,71.2,54.9,28.71,82.67,6.5,119.22,banana
27.3,28.5,23.2,29.12,68.32,6.63,85.18,groundnut
102.8,14.4,47.0,30.28,94.02,6.23,20.34,muskmelon
20.2,132.8,198.1,21.74,92.7,6.3,108.84,apple
19.5,133.2,209.1,16.35,82.49,6.37,65.49,grapes
17.1,12.7,43.3,20.7,90.78,6.57,99.71,pomegranate
105.6,24.2,27.1,27.41,53.7,6.35,147.26,coffee
23.0,129.0,207.1,19.47,80.59,6.35,71.53,grapes
92.6,86.5,48.7,29.41,81.45,6.08,97.76,banana
22.2,64.5,19.4,22.66,63.19,6.3,56.2,lentil
15.9,132.4,204.3,24.98,93.13,5.56,112.89,apple
117.5,63.1,54.6,25.19,67.56,7.35,234.15,sugarcane
104.2,18.7,30.9,24.64,69.15,6.18,168.39,coffee
27.7,69.5,23.2,26.59,52.49,4.57,192.2,pigeonpeas
82.8,39.6,45.5,27.82,58.84,7.02,119.52,chilli
21.3,126.0,203.2,21.62,81.35,6.42,66.37,grapes
109.5,45.8,37.6,17.93,54.01,7.07,38.92,wheat
19.0,72.2,24.9,22.47,60.95,6.96,55.71,lentil
20.4,53.6,17.1,31.27,47.02,5.07,105.13,pigeonpeas
25.0,43.3,21.4,24.42,84.13,7.08,42.51,mungbean
94.0,72.6,52.2,31.43,83.44,5.82,90.66,banana
44.2,71.1,24.1,28.5,74.52,6.84,62.68,blackgram
26.6,63.9,75.8,24.45,23.14,6.83,73.64,chickpea
22.3,11.0,40.3,19.91,89.92,6.06,109.94,pomegranate
25.3,65.9,24.8,18.59,20.79,5.69,66.11,kidneybeans
61.6,38.1,42.4,29.91,61.07,6.73,107.47,chilli
24.7,61.2,19.4,20.8,23.13,5.59,74.76,kidneybeans
96.0,44.4,60.0,27.1,71.82,5.57,166.45,rice
21.1,26.7,22.9,23.96,66.54,6.46,72.39,groundnut
20.3,19.8,44.9,25.47,86.32,6.86,101.37,pomegranate
20.6,19.3,8.6,15.38,91.78,6.21,107.34,orange
23.8,47.6,37.5,26.0,79.54,6.24,62.31,soybean
109.8,53.6,21.1,23.43,77.38,5.79,90.75,cotton
20.9,16.8,33.7,31.7,48.5,5.75,102.89,mango
22.2,122.2,198.3,24.27,84.19,6.41,72.72,grapes
32.2,54.8,73.2,20.51,20.52,6.14,89.77,chickpea
91.8,50.7,27.8,13.01,55.27,7.02,34.6,wheat
105.8,89.2,51.5,26.22,84.69,6.19,117.87,banana
22.0,133.6,205.4,20.77,82.83,6.68,71.7,grapes
49.5,58.6,50.2,31.07,92.91,6.41,144.47,papaya
16.9,15.0,9.8,24.26,90.11,6.37,110.59,orange
22.9,18.3,27.6,29.35,53.51,6.21,102.33,mango
78.9,55.4,29.2,20.75,65.91,5.96,61.18,maize
107.5,18.1,50.7,30.47,94.83,6.45,27.7,muskmelon
99.5,23.7,34.9,22.4,69.2,6.76,147.08,coffee
